id	replyCount	likeCount	publishedAt	authorName	text	authorChannelId	authorChannelUrl	isReply	isReplyTo	isReplyToName
UgxkjDRhdK0WKxlpei54AaABAg	0	8	2022-02-03 02:23:05	Alfresh contruccion	No sé debe negociar la dignidad del pueblo	UC5OyI_fh1ITlZvQYjae2F5w	http://www.youtube.com/channel/UC5OyI_fh1ITlZvQYjae2F5w	0		
Ugzi8xVaUNpkUq5vCjV4AaABAg	0	0	2022-02-03 02:22:52	Leodarwin Flores	Dise apollar lo bueno cobarde e ipocrita si don ustedes los que tienen. En conflicto y en la miseria al pueblo	UCLGScsVQnvEz5afGILWI4AQ	http://www.youtube.com/channel/UCLGScsVQnvEz5afGILWI4AQ	0		
Ugw7QYzNKENHvdu1dhh4AaABAg	2	3	2022-02-03 02:22:10	Juan Francisco Serrano Rodriguez	Es muy buena posición!<br>Quizás así los del partido Libre puedan lograr ver la realidad!<br>Porque éste es un problema meramente de ellos!<br>y que de ésta se abstengan de estar culpando a los demás!	UCKv_WKdgNdK3wlH-EehVzmw	http://www.youtube.com/channel/UCKv_WKdgNdK3wlH-EehVzmw	0		
Ugw7QYzNKENHvdu1dhh4AaABAg.9XyOZLeKMme9Xy_3UHHyxN		2	2022-02-03 04:02:41	Denis Gutierrez	Partido nacional corruptos, no tienen nuestra confianza. No se metan, ustedes tienen en quiebra a este país. Vayanse	UCfDrKnvRhSNEm5qFJDm03vA	http://www.youtube.com/channel/UCfDrKnvRhSNEm5qFJDm03vA	1	Ugw7QYzNKENHvdu1dhh4AaABAg	Juan Francisco Serrano Rodriguez
Ugw7QYzNKENHvdu1dhh4AaABAg.9XyOZLeKMme9XyT495DUmh		3	2022-02-03 03:01:36	Cielo Rojo	Quién los mando a meterse y a tomar ventaja de ello, sinvergüenzas les salió el tiro por la culata...el pueblo salimos a votar por un cambio no para seguir en la misma mierda.	UCxvIWJxfbNSRGaDKg56pNJQ	http://www.youtube.com/channel/UCxvIWJxfbNSRGaDKg56pNJQ	1	Ugw7QYzNKENHvdu1dhh4AaABAg	Juan Francisco Serrano Rodriguez
Ugy_zxYMoc_mOoQquNV4AaABAg	0	0	2022-02-03 02:19:34	Hector Escalante	No hay diálogo con delincuentes cómo ustedes redondo es el legítimo presidente del Congreso Nacional es hoy ó nunca	UCF430TBq3hJ9b_nBwJ_llOg	http://www.youtube.com/channel/UCF430TBq3hJ9b_nBwJ_llOg	0		
Ugz5JYLItZO43wCuMo14AaABAg	0	3	2022-02-03 02:19:21	Carlos Murcia	Eso es correcto ellos estan bien El problema Era Jorgito q tiene q unique a Redondo.	UCxoHv2tgQdHQoPs67QhUwkA	http://www.youtube.com/channel/UCxoHv2tgQdHQoPs67QhUwkA	0		
Ugw--j_5Yb5mz-jdA3x4AaABAg	0	0	2022-02-03 02:18:26	Hito Avila	Quédense en Zambrano solo para joder el pueblo llegan al congreso , ustedes son una peste.	UCONSXCSVftMpsxirqeaVMmw	http://www.youtube.com/channel/UCONSXCSVftMpsxirqeaVMmw	0		
Ugz_L4_tAIJ7Vf9hzXN4AaABAg	1	12	2022-02-03 02:17:39	Kathy Rubio	Vamos pueblo no se dejen fuera traidores	UCzJdGEemj_PUWeqZfvp5a8A	http://www.youtube.com/channel/UCzJdGEemj_PUWeqZfvp5a8A	0		
Ugz_L4_tAIJ7Vf9hzXN4AaABAg.9XyO2I3RAfC9XyPHbSjNCW		2	2022-02-03 02:28:29	Aqui Honduras	Fuera traidores esa es la palabra	UC2NDE96UDWyawJXR_oNX8-A	http://www.youtube.com/channel/UC2NDE96UDWyawJXR_oNX8-A	1	Ugz_L4_tAIJ7Vf9hzXN4AaABAg	Kathy Rubio
Ugx-ZsE7Ekxb_fM-M8p4AaABAg	3	16	2022-02-03 02:16:39	Oscar Breve	No les queda otra opción que ser neutral saben que redondo no cederá a presiones de ninguna naturaleza a Calix no le queda más remedio que aceptar la propuesta de la presidenta. Antes que se le acabe la paciencia. Jorgito estás quedando solo apresúrate. A tomar lo que te den	UCPsuzpcBJ62mlB3j8--064g	http://www.youtube.com/channel/UCPsuzpcBJ62mlB3j8--064g	0		
Ugx-ZsE7Ekxb_fM-M8p4AaABAg.9XyNvtEn69x9XyjvX8glOS		1	2022-02-03 05:37:34	Gladis Arita	Redondo es el diputado más honesto que hay	UCBda8_H0iLNIuB8des21epg	http://www.youtube.com/channel/UCBda8_H0iLNIuB8des21epg	1	Ugx-ZsE7Ekxb_fM-M8p4AaABAg	Oscar Breve
Ugx-ZsE7Ekxb_fM-M8p4AaABAg.9XyNvtEn69x9XyXewmwSw7		4	2022-02-03 03:41:43	Elena Guillen	Así es Marisela completamente de acuerdo con ud. Redondo no es un político corrupto ni mal intencionado por éso ha sido rechazado desde el principio. Él tiene que ser legalmente el presidente del CN.	UCyBZ_HTBiAd79QEKkVgMTlw	http://www.youtube.com/channel/UCyBZ_HTBiAd79QEKkVgMTlw	1	Ugx-ZsE7Ekxb_fM-M8p4AaABAg	Oscar Breve
Ugx-ZsE7Ekxb_fM-M8p4AaABAg.9XyNvtEn69x9XyU4J6NTj7		10	2022-02-03 03:10:22	Marisela Fuentes	Eso es lo que me llega de Luis Redondo, su temple, su carácter y que es hombre de una sola palabra y sobre todo un hombre muy inteligente que no se va dejar manipular de nadie, Salvador supo a quien elegir y Xiomara a quien aceptar, si les molesta que Luis Redondo casi no platique con algunos diputados del periodo anterior y lo Tilden de creído eso no importa, lo que le interesa al pueblo esque haga su trabajo bien y tenga carácter y tome buenas decisiones con sabiduría y en beneficio del pueblo, por su carácter, sabiduría y seriedad esque nos gusta para presidente del Congreso Nacional, Redondo no anda como Calix haciendo trances para defender los intereses del partido nacional ni hablando tanto y sin hacer nada, Luis Redondo tiene personalidad, presencia y educación, y sobre todo no anda hablando tanto me parece que es un hombre de acción y no de bla bla bla como Cálix.	UC6viHYqKO7TsZCqqo3LjinA	http://www.youtube.com/channel/UC6viHYqKO7TsZCqqo3LjinA	1	Ugx-ZsE7Ekxb_fM-M8p4AaABAg	Oscar Breve
Ugz06qgP9FU77YLc4mp4AaABAg	1	6	2022-02-03 02:15:24	Victor mauricio Escalante soriano	No es propuesta, es estrategia	UCrZXrN2niaLD6ibhuh9nRzw	http://www.youtube.com/channel/UCrZXrN2niaLD6ibhuh9nRzw	0		
Ugz06qgP9FU77YLc4mp4AaABAg.9XyNmkavWRq9XyPKg23pUz		0	2022-02-03 02:28:54	Elmer Lopez.	Asi es... se unen al mas fuerte...	UCMgc-HHQDOJSng2M8qwsdDA	http://www.youtube.com/channel/UCMgc-HHQDOJSng2M8qwsdDA	1	Ugz06qgP9FU77YLc4mp4AaABAg	Victor mauricio Escalante soriano
Ugzqt-HWBcIrfN13gfV4AaABAg	0	0	2022-02-03 02:13:20	edgar mejia	Que siga de mage jorge calix. Lo sonsacaron lo corrompieron y ahora se lavan las manos y lo dejan como el perro de las dos tortas	UCLYu9Ap0bBHGa_BW5ccTzuw	http://www.youtube.com/channel/UCLYu9Ap0bBHGa_BW5ccTzuw	0		
UgzLlj3mM2JENkeUwZ94AaABAg	0	0	2022-02-03 02:12:01	Juan Rivera	Estan cagados al ver q no pueden com el pueblo estos delincuentes	UCsljtO59E87Smu4Psu_LNjw	http://www.youtube.com/channel/UCsljtO59E87Smu4Psu_LNjw	0		
UgzPfxuel1BqJ9NWFfJ4AaABAg	1	32	2022-02-03 02:11:19	Mari Carballo	Ladrones ustedes jamás pensaron en el pueblo Hodureño	UCKeNe_d7eL_htvV8hMfdjZA	http://www.youtube.com/channel/UCKeNe_d7eL_htvV8hMfdjZA	0		
UgzPfxuel1BqJ9NWFfJ4AaABAg.9XyNJoPdcZg9XyWEqROV0C		2	2022-02-03 03:29:17	CM	Desde cusndo los cachurecos han pensado en el pueblo ellos	UCBQR1Km0_EtEpgfbqGeHPPg	http://www.youtube.com/channel/UCBQR1Km0_EtEpgfbqGeHPPg	1	UgzPfxuel1BqJ9NWFfJ4AaABAg	Mari Carballo
UgyQkddN23h1qIDb0ZJ4AaABAg	0	3	2022-02-03 02:10:46	Nolvia Aracely Fernandez	Que desorden	UCJeOd1vu36bvdYmRlsdwi6w	http://www.youtube.com/channel/UCJeOd1vu36bvdYmRlsdwi6w	0		
UgxBMUy6ApMpav65XIV4AaABAg	0	6	2022-02-03 02:07:39	Denis Nuila	Ladrones de corbata	UCAfJSQlLllIiWRGteBQ5HgA	http://www.youtube.com/channel/UCAfJSQlLllIiWRGteBQ5HgA	0		
UgxhmR3UxhfE1xz8IPt4AaABAg	0	0	2022-02-03 02:05:55	Denis Nuila	Vende patria no negosesion el congreso Luis redondo es el presidente	UCAfJSQlLllIiWRGteBQ5HgA	http://www.youtube.com/channel/UCAfJSQlLllIiWRGteBQ5HgA	0		
Ugzh8OIXOhgXpibT_fJ4AaABAg	0	16	2022-02-03 01:56:48	Manuel Ochoa	Puros ladrones corruptos	UCBzdFbZe70BgW2B6iGHK-wA	http://www.youtube.com/channel/UCBzdFbZe70BgW2B6iGHK-wA	0		
